Symbol,Date,Open,High,Low,Close,Volume,Split Factor,Earnings,Dividends
mrk,2016/3/24,52.71,53.35,52.58,53.07,5698591,1,0,0
mro,2016/3/24,9.79,10.45,9.65,10.29,27364664,1,0,0
ms,2016/3/24,24.94,24.96,24.28,24.915,14218509,1,0,0
msft,2016/3/24,53.85,54.33,53.73,54.21,15339799,1,0,0
msi,2016/3/24,73.04,73.04,72.4,72.59,812416,1,0,0
mtb,2016/3/24,111.43,111.43,109.75,111.22,553601,1,0,0
mtg,2016/3/24,7.33,7.375,7.12,7.35,3588378,1,0,0
mtw,2016/3/24,4.37,4.41,4.22,4.36,2051456,1,0,0
mu,2016/3/24,10.54,10.6,10.33,10.5,21307091,1,0,0
mur,2016/3/24,23.24,24.41,23.04,24.13,3649089,1,0,0
mww,2016/3/24,3.17,3.36,3.1101,3.22,2417280,1,0,0
mxim,2016/3/24,35.21,35.62,35.06,35.62,1024849,1,0,0
myl,2016/3/24,45,46.13,44.47,45.87,2277259,1,0,0
nav,2016/3/24,12.03,12.2767,11.46,12.235,900682,1,0,0
navi,2016/3/24,11.82,11.99,11.65,11.95,1826878,1,0,0
